Shop,Country,Manufacturer,Model,Assembled,Build envelope(W x D x H mm),Image,Technology,Price(US$),Lead time
Natural Machines,Spain,Natural Machines,Foodini,Yes,250x165x120,,FFF,"$ 1,300.00",-
MindKits,New Zealand,MindKits,DiamondMind 3D Printer V2,DIY kit,260x250x170,,FFF,"$ 1,304.00",in stock
Felix Printers,Netherlands,Felix Printers,3d Felix 3.0 Kit,DIY kit,225x205x235,,FFF,"$ 1,375.00",1-2 days
Mojreprap,Poland,Mojreprap,Profabb GATE LE,Yes,190x220x230,,FFF,"$ 1,382.00",in stock
3D Stuffmaker,Australia,3D Stuffmaker,CREATOR  Fully  Assembled,Yes,110x130x105,,FFF,"$ 1,395.00",in stock
3D Systems,USA,3D Systems,Cube 2,Yes,140x140x140,,FFF,"$ 1,399.00",-
Makergear,USA,Makerqear,M2 3D Printer- Kit,DIY kit,203x254x203,,FFF,"$ 1,475.00",2-4 weeks
Mendel Parts,Netherlands,Mendel Parts,Orca v0.44 Unassembled,DIY kit,250x220x190 ,,FFF,"$ 1,497.00",out of stock
Deezmaker,USA,Deezmaker,Bukobot 8 v2 Duo Kit (Dual Extruders),DIY kit,200x200x200,,FFF,"$ 1,499.00",1-2 weeks
mUVe 3D LLC,USA,mUVe,mUVe 1,DIY kit,145x145x185,,SLA,"$ 1,499.00",-
Tinkerine Studio,Canada,Tinkerine Studio,Ditto Plus 3D printer Assembled,Yes,210x185x230,,FFF,"$ 1,549.00",3-5 weeks
ROKIT,Korean,ROKIT,3DISON Plus,Yes,225x145x150,,FFF,"$ 1,560.00",-
3D Systems,USA,Cubify,Cube 3D printer,Yes,140x140x140 ,,Plastic Jet Printing (PJP),"$ 1,569.00",-
Maker's Tool Works,USA,MendelMax,MendelMax 2.0 Beta Kit,DIY kit,245x315x225,,FFF,"$ 1,595.00",10 days
Sedgwick,USA,Sedgwick,3D DLP Printer v2.0,Yes, 75x75x50,,DLP,"$ 1,595.00",out of stock
Spiderbot,FRANCE,Spiderbot,SpiderBot Eco Kit v1.2 ,DIY kit,180x180x180,,FFF,"$ 1,595.00",out of stock / pre-order
IT IS 3D,UK,IT IS 3D,Maxit,DIY kit,210x160x100,,,"$ 1,610.00",-
Kentstrapper ,Italy,Kentstrapper,KENTSTRAPPER VOLTA BETA ,Yes,260x280x190,,FFF,"$ 1,627.00",-
PP3DP,China,PP3DP,UP! Plus 2,Yes,140x140x135,,FFF,"$ 1,649.00",3-4 weeks
Leapfrog,Netherlands,Leapfrog,Creatr,Yes,300x250x260 ,,FFF,"$ 1,669.00",3-4 weeks
Extru3D,France,Multistation,Extru3D V2,DIY kit,275x205x210,,FFF,"$ 1,684.00",-
Builder,Netherlands,Code-p,Builder,Yes,220x220X175,,FFF,"$ 1,694.00",3-5 days
Makex,China,Makex,Makex M-Ohe,Yes,140x110x170,,DLP-SLA,"$ 1,699.00",-
York 3D Printers,UK,York 3D Printers,Buildabot 'Revolution' 3d Printer Kit,DIY kit,210x210x160,,FFF,"$ 1,700.00",3-5 weeks
Lulzbot,USA,Lulzbot,AO-101 3D Printer,Yes,200x190x100,,FFF,"$ 1,725.00",In stock
MakerDreams,Italian,MakerDreams ,iNvent One - Black,Yes,280x210x200,,FFF,"$ 1,770.00",-
Makergear,USA,Makergear,M2 3DPrinter-Assembled,Yes,203x254x203,,FFF,"$ 1,775.00",2-4 weeks
Sharebot,Italy,Sharebot,Sharebot Pro ,Yes,200x200x200,,FFF,"$ 1,781.00",-
ORD solutions inc,Canada,ORD solutions inc,MH3000 - 3D Printer Fully assembled ,Yes,284x302x192,,FFF,"$ 1,799.00",-
Actuity Design,USA,Actuity Design,Acuity MendelMax 3D-printer,Yes,200x140x200,,FFF,"$ 1,800.00",out of stock
Fabbster,Germany,Fabbster,Fabbster kit,DIY kit,230x230x210,,SDM,"$ 1,800.00",N/A
Spiderbot,FRANCE,Spiderbot,SpiderBot Full Kit v1.2 ,DIY kit,180x180x180,,FFF,"$ 1,845.00",out of stock / pre-order
ATOM 3dp,Taiwan,ATOM 3dp,Atom 3D-printer,Yes,-,,FFF,"$ 1,865.00",in stock
