Manufacturer,Model,Mode,Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD),Availability
Click for Details,3D Systems,ProJet MJP 2500 Plus,HD - High Definition,,Material Jetting,Polymer,,11.6,8.3,5.6,Price not reported,
Click for Details,3D Systems,ProJet MJP 2500W,XHD,,Material Jetting,Wax,Wax-like,11.61,8.31,5.59,Price not reported,
Click for Details,3D Systems,ProJet MJP 3600,HD,,Material Jetting,Polymer,"ABS-like, PC-like, Rubber-like",11.75,7.2,8,"$50,000 - $99,999",
Click for Details,3D Systems,ProJet MJP 3600,UHD,,Material Jetting,Polymer,"ABS-like, PC-like, Rubber-like",8,7,8,"$50,000 - $99,999",
Click for Details,3D Systems,ProJet MJP 3600,XHD,,Material Jetting,Polymer,"ABS-like, PC-like, Rubber-like",8,7,8,"$50,000 - $99,999",
Click for Details,3D Systems,ProJet MJP 3600 Dental,HDP,,Material Jetting,Polymer,Acrylic,11.75,7.2,8,"$50,000 - $99,999",
Click for Details,3D Systems,ProJet MJP 3600 Dental,HDX,,Material Jetting,Polymer,Acrylic,11.75,7.2,8,"$50,000 - $99,999",
Click for Details,3D Systems,ProJet MJP 3600 Dental,UHD,,Material Jetting,Polymer,Acrylic,11.75,7.2,8,"$50,000 - $99,999",
Click for Details,3D Systems,ProJet MJP 3600 Max,HD,,Material Jetting,Polymer,"ABS-like, PC-like, Rubber-like",8,7,8,"$50,000 - $99,999",
Click for Details,3D Systems,ProJet MJP 3600 Max,UHD,,Material Jetting,Polymer,"ABS-like, PC-like, Rubber-like",8,7,8,"$50,000 - $99,999",
Click for Details,3D Systems,ProJet MJP 3600 Max,XHD,,Material Jetting,Polymer,"ABS-like, PC-like, Rubber-like",8,7,8,"$50,000 - $99,999",
Click for Details,3D Systems,ProJet MJP 3600W,HD,,Material Jetting,Wax,Wax-like,11.75,7.2,8,"$50,000 - $99,999",
Click for Details,3D Systems,ProJet MJP 3600W,UHD,,Material Jetting,Wax,Wax-like,5,7,8,"$50,000 - $99,999",
Click for Details,3D Systems,ProJet MJP 3600W,XHD,,Material Jetting,Wax,Wax-like,5,7,8,"$50,000 - $99,999",
Click for Details,3D Systems,ProJet MJP 3600W Max,HD,,Material Jetting,Wax,Wax-like,11.75,7.2,8,"$50,000 - $99,999",
Click for Details,3D Systems,ProJet MJP 3600W Max,UHD,,Material Jetting,Wax,Wax-like,11.75,7.2,8,"$50,000 - $99,999",
Click for Details,3D Systems,ProJet MJP 3600W Max,XHD,,Material Jetting,Wax,Wax-like,11.75,7.2,8,"$50,000 - $99,999",
Click for Details,3D Systems,ProJet MJP 5600,UHD,,Material Jetting,Polymer,,20.4,15,11.8,"$100,000 - $249,999",
Click for Details,3D Systems,ProJet MJP 5600,UHDS (Single Material),,Material Jetting,Polymer,,20.4,15,11.8,"$100,000 - $249,999",
Click for Details,3D Systems,ProJet MJP 5600,XHD,,Material Jetting,Polymer,,20.4,15,11.8,"$100,000 - $249,999",
Click for Details,3D Systems,ProJet MJP 5600,XHDS (Single Material),,Material Jetting,Polymer,,20.4,15,11.8,"$100,000 - $249,999",
Click for Details,3D Systems,ProX 800,Full,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer","ABS-like, ABS-like/PP-like, PP-like",25.6,29.5,21.65,"$250,000 - $499,999",
