Manufacturer,Model,Mode,Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD),Availability
Click for Details,CMET,ATOMm-4000,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Silicone-like",15.7,15.7,11.8,"$100,000 - $249,999",
Click for Details,CMET,ATOMm-8000,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Silicone-like",31.5,23.6,15.7,"$250,000 - $499,999",
Click for Details,CMET,Mini Meister MM-10,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Silicone-like",1.73,1.1,2.76,"Less than $49,999",
Click for Details,CMET,Mini Meister MM-12,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Silicone-like",3.15,1.97,3.94,"Less than $49,999",
Click for Details,CMET,Mini Meister MM-13,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Silicone-like",4.72,2.95,3.94,"Less than $49,999",
Click for Details,CMET,Mini Meister MM-NX,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Silicone-like",2.64,1.5,3.94,"Less than $49,999",
Click for Details,CMET,RM-3000,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Silicone-like",11.8,11.8,9.8,Price not reported,
Click for Details,CMET,RM-6000 II,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Silicone-like",24,24,19.7,Price not reported,
Click for Details,Concept Laser (GE Additive),M Line Factory,4 Quad Laser,1000,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Nickel",15.7,15.7,16.7,Price not reported,
Click for Details,Concept Laser (GE Additive),M1 cusing,,200,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Nickel, Steel",9.84,9.84,9.84,"$250,000 - $499,999",
Click for Details,Concept Laser (GE Additive),M2 cusing,,400,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Cobalt, Nickel, Steel, Titanium",9.84,9.84,11.02,"$250,000 - $499,999",
Click for Details,Concept Laser (GE Additive),M2 cusing,,200,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Cobalt, Nickel, Steel, Titanium",9.84,9.84,11.02,"$250,000 - $499,999",
Click for Details,Concept Laser (GE Additive),M2 cusing Multilaser,,400,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Cobalt, Nickel, Steel, Titanium",9.84,9.84,11.02,"$500,000 - $999,999",
Click for Details,Concept Laser (GE Additive),M2 cusing Multilaser,,200,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Cobalt, Nickel, Steel, Titanium",9.84,9.84,11.02,"$500,000 - $999,999",
Click for Details,Concept Laser (GE Additive),Mlab cusing,,50,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Steel, Bronze, Gold",3.54,3.54,3.15,"$100,000 - $249,999",
Click for Details,Concept Laser (GE Additive),Mlab cusing,,100,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Steel, Bronze, Gold",3.54,3.54,3.15,"$100,000 - $249,999",
Click for Details,Concept Laser (GE Additive),Mlab cusing 200R,,200,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Titanium, Steel, Aluminum, Bronze",3.93,3.93,3.93,"$100,000 - $249,999",
Click for Details,Concept Laser (GE Additive),Mlab cusing R,,100,Powder Bed Fusion (e.g. SLS),Metal,"Bronze, Cobalt, Gold, Silver, Steel, Titanium",3.54,3.54,3.15,"$100,000 - $249,999",
Click for Details,Concept Laser (GE Additive),X line 2000R,,1000,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Titanium, Nickel",31.49608,15.74804,19.68505,"Greater than $1,000,000",
Click for Details,Coobx,EXIGO 1-110,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like, TPU-like",6.05,3.4,4.33,"Less than $49,999",
Click for Details,Coobx,EXIGO 1-350,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like, TPU-like",6.05,3.4,13.78,"Less than $49,999",
Click for Details,Cosine,AM1,,,Material Extrusion (e.g. FDM),"Polymer, Composite",,43,34,37,"$50,000 - $99,999",
Click for Details,Cubicure,Caligma 200,,,Vat Photopolymerization (e.g. SLA),Polymer,Resin,7.87,3.94,11.81,Price not reported,
Click for Details,Cubicure,Caligma 200,UV,,Vat Photopolymerization (e.g. SLA),Polymer,Resin,7.87,3.94,11.81,Price not reported,
Click for Details,Desktop Metal,Studio System+,,,Material Extrusion (e.g. FDM),Metal,,11.4,7.4,7.7,"$100,000 - $249,999",
Click for Details,Digital Metal (Hoeganaes Group),DM P2500,,,Binder Jetting,Metal,"Steel, Titanium",7.99,7.09,2.72,Price not reported,
Click for Details,D-MEC,ACCULAS,,,Vat Photopolymerization (e.g. SLA),Polymer,,2,2,,Price not reported,
Click for Details,D-MEC,SCS-1000HD,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Oxycetane",11.8,11.8,10.6,Price not reported,
Click for Details,D-MEC,SCS-6000,,,Vat Photopolymerization (e.g. SLA),Polymer,Epoxy,11.8,11.8,9.8,Price not reported,
Click for Details,D-MEC,SCS-9000,,,Vat Photopolymerization (e.g. SLA),Polymer,Epoxy,39.4,31.5,19.7,Price not reported,
Click for Details,DMG MORI,LASERTEC 30 SLM 2nd Gen,,600-1000,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium, Aluminum, Nickel",11.81,11.81,11.81,"$500,000 - $999,999",
Click for Details,DPP,XLS DPE 3D Printer,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PA, PVA, HIPS, TPU",43.31,43.31,7.87,"Less than $49,999",
Click for Details,DWS Systems,DFAB Chairside Version,,,Vat Photopolymerization (e.g. SLA),Ceramic,,1.85,0.71,1.57,"Less than $49,999",
Click for Details,DWS Systems,DFAB Desktop Version,,,Vat Photopolymerization (e.g. SLA),Ceramic,,1.85,0.71,1.57,"Less than $49,999",
Click for Details,DWS Systems,DigitalWax 009D,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,1.97,1.46,3.94,"Less than $49,999",
Click for Details,DWS Systems,DigitalWax 009J,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,1.97,1.46,3.94,"Less than $49,999",
Click for Details,DWS Systems,DigitalWax 020D,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,5.12,5.12,3.54,"Less than $49,999",
Click for Details,DWS Systems,DigitalWax 020X,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,5.12,5.12,3.54,"Less than $49,999",
Click for Details,DWS Systems,DigitalWax 028D,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,3.54,3.54,3.54,"$50,000 - $99,999",
Click for Details,DWS Systems,DigitalWax 028J,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,2.56,2.56,3.54,"Less than $49,999",
Click for Details,DWS Systems,DigitalWax 028J Plus,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,3.54,3.54,3.54,"$50,000 - $99,999",
Click for Details,DWS Systems,DigitalWax 028JE,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,2.56,2.56,3.54,"$50,000 - $99,999",
Click for Details,DWS Systems,DigitalWax 029D,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,5.91,5.91,3.94,"$100,000 - $249,999",
Click for Details,DWS Systems,DigitalWax 029J,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,4.33,4.33,3.94,"$50,000 - $99,999",
Click for Details,DWS Systems,DigitalWax 029J Plus,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,5.91,5.91,3.94,"$100,000 - $249,999",
Click for Details,DWS Systems,DigitalWax 029X,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,5.91,5.91,7.87,"$100,000 - $249,999",
Click for Details,DWS Systems,DigitalWax 030D HR,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,11.81,11.81,11.81,"$100,000 - $249,999",
Click for Details,DWS Systems,DigitalWax 030D SR,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,9.84,9.84,9.84,"$100,000 - $249,999",
Click for Details,DWS Systems,DigitalWax 030J,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,11.81,11.81,11.81,"$250,000 - $499,999",
Click for Details,DWS Systems,DigitalWax 030X,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,11.81,11.81,11.81,"$250,000 - $499,999",
Click for Details,DWS Systems,XFAB 2000,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax","ABS-like, PP-like, Acrylic, Rubber-like, Wax-like",7.09,7.09,7.09,"Less than $49,999",
Click for Details,DWS Systems,XFAB 2500 HD,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like, Rubber-like",7.09,7.09,7.09,"Less than $49,999",
Click for Details,DWS Systems,XFAB 2500 PD,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like, Rubber-like",7.09,7.09,7.09,"Less than $49,999",
Click for Details,DWS Systems,XFAB 2500 SD,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like, Rubber-like",7.09,7.09,7.09,"Less than $49,999",
Click for Details,DWS Systems,XFAB 3500 HD,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like, Rubber-like",5.51,5.51,7.09,"Less than $49,999",
Click for Details,DWS Systems,XFAB 3500 PD,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like, Rubber-like",6.3,6.3,7.09,"Less than $49,999",
Click for Details,DWS Systems,XFAB 3500 SD,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like, Rubber-like",5.51,5.51,7.09,"Less than $49,999",
Click for Details,DWS Systems,XPRO S,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like, Rubber-like",11.81,11.81,11.81,"$100,000 - $249,999",
Click for Details,Dynamical Tools,DT60,,,Material Extrusion (e.g. FDM),Polymer,"ABS, HIPS, PC, PA, ASA, TPU, PP",23.62,17.72,17.72,"Less than $49,999",
Click for Details,Dynamical Tools,DT600+,,,Material Extrusion (e.g. FDM),Polymer,"ABS, HIPS, PC, PA, ASA, TPU, PP",23.62,17.72,17.72,"Less than $49,999",
Click for Details,EnvisionTEC,3Dent,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer","ABS-like, Gypsum-like",10.5,7,3,"$50,000 - $99,999",
Click for Details,EnvisionTEC,Aria,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax, Composite",Wax-like,2.56,1.57,3.94,"Less than $49,999",
Click for Details,EnvisionTEC,Micro Plus Advantage,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",2.36,1.77,3.94,Price not reported,
Click for Details,EnvisionTEC,Micro Plus cDLM,,,Vat Photopolymerization (e.g. SLA),Polymer,,1.77,1.1,2.95,Price not reported,
Click for Details,EnvisionTEC,Micro Plus HD,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",1.77,1.1,3.94,Price not reported,
Click for Details,EnvisionTEC,Micro Plus XL,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax",Wax-like,4.72,2.95,3.35,"Less than $49,999",
Click for Details,EnvisionTEC,Perfactory 3 DSP,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,5.5,4.1,9.06,"$50,000 - $99,999",
Click for Details,EnvisionTEC,Perfactory 3 DSP,ERM,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,5.5,4.1,9.06,"$50,000 - $99,999",
Click for Details,EnvisionTEC,Perfactory 4 LED,,,Vat Photopolymerization (e.g. SLA),Polymer,,6.3,3.9,9.06,"$100,000 - $249,999",
Click for Details,EnvisionTEC,Perfactory 4 LED,XL,,Vat Photopolymerization (e.g. SLA),Polymer,,7.6,4.7,9.06,"$100,000 - $249,999",
Click for Details,EnvisionTEC,Perfactory 4 LED XXL,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Composite, Polymer","ABS-like, Wax-like, Gypsum-like",9.06,5.67,7.87,"$100,000 - $249,999",
Click for Details,EnvisionTEC,Perfactory 4 Mini,"ERM, Lens f = 2.36"" (60mm)",,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",2.5,1.6,8.66,"$50,000 - $99,999",
Click for Details,EnvisionTEC,Perfactory 4 Mini,"ERM, Lens f = 2.95"" (75mm)",,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",1.5,0.9,8.66,"$50,000 - $99,999",
Click for Details,EnvisionTEC,Perfactory 4 Mini XL,"ERM, Lens f = 2.36"" (60mm)",,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",4.5,2.8,8.66,"$50,000 - $99,999",
Click for Details,EnvisionTEC,Perfactory 4 Mini XL,"ERM, Lens f = 2.95"" (75mm)",,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",3.3,2.1,8.66,"$50,000 - $99,999",
Click for Details,EnvisionTEC,Perfactory 4 Mini XL LED,"Lens f + 2.36"" (60mm)",,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",4.53,2.83,8.66,Price not reported,
Click for Details,EnvisionTEC,Perfactory 4 Mini XL LED,"Lens f + 2.95"" (75mm)",,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",3.31,2.07,8.66,Price not reported,
Click for Details,EnvisionTEC,Perfactory Aureus PLUS,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax",Wax-like,2.36,1.77,3.15,"Less than $49,999",
Click for Details,EnvisionTEC,SLCOM1,,,Sheet Lamination,Composite,,30,24,24,Price not reported,
Click for Details,EnvisionTEC,ULTRA 3SP,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like",10.5,6.9,7.6,"Less than $49,999",
Click for Details,EnvisionTEC,ULTRA 3SP High Definition,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like",10.5,6.9,7.6,"$50,000 - $99,999",
Click for Details,EnvisionTEC,ULTRA 3SP Ortho,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,10.5,6.9,3,"Less than $49,999",
Click for Details,EnvisionTEC,Vector 3SP,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,11.8,7.9,7.9,Price not reported,
Click for Details,EnvisionTEC,Vector 3SP Ortho,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,11.81,11.81,2.76,Price not reported,
Click for Details,EnvisionTEC,Vector HD 3SP,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,11.81,6.89,10.83,Price not reported,
Click for Details,EnvisionTEC,Vida,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Composite, Polymer",Gypsum-like,5.511814,3.110238,3.93701,"Less than $49,999",
Click for Details,EnvisionTEC,Vida cDLM,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.78,2.13,3.94,"Less than $49,999",
Click for Details,EnvisionTEC,Vida HD,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Composite, Polymer",,3.78,2.13,3.94,"Less than $49,999",
Click for Details,EnvisionTEC,Vida HD cDLM,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.54,1.97,3.94,Price not reported,
Click for Details,EnvisionTEC,Vida UHD,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Composite, Polymer",,2.49,1.4,3.94,Price not reported,
Click for Details,EnvisionTEC,Vida UHD cDLM,,,Vat Photopolymerization (e.g. SLA),Polymer,,2.49,1.4,3.94,Price not reported,
Click for Details,EnvisionTEC,Xede 3SP,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,18,18,18,"$100,000 - $249,999",
Click for Details,EnvisionTEC,Xede 3SP Ortho,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",18,18,4,"$100,000 - $249,999",
Click for Details,EnvisionTEC,Xtreme 3SP,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,10,15,13,"$100,000 - $249,999",
Click for Details,EnvisionTEC,Xtreme 3SP Ortho,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",10,14.25,4,"$100,000 - $249,999",
Click for Details,EnvisionTEC,Xtreme HD 3SP,,,Vat Photopolymerization (e.g. SLA),"Polymer, Ceramic","ABS-like, Gypsum-like-like",8.5,15,14.02,Price not reported,
Click for Details,EOS,EOS M 100,,200,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Steel, Titanium",3.94,3.94,3.7,Price not reported,
Click for Details,EOS,EOS M 290,,400,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Cobalt, Nickel, Steel, Titanium",9.85,9.85,12.8,"$500,000 - $999,999",
Click for Details,EOS,EOS M 300-4,,400,Powder Bed Fusion (e.g. SLS),Metal,"Nickel, Steel",11.81,11.81,15.75,"$500,000 - $999,999",
Click for Details,EOS,EOS M 400,,1000,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Cobalt, Nickel, Steel, Titanium",15.8,15.8,15.8,"Greater than $1,000,000",
Click for Details,EOS,EOS M 400-4,,400,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Cobalt, Nickel, Steel, Titanium",15.8,15.8,15.8,"Greater than $1,000,000",
Click for Details,EOS,EOS P 396,,70,Powder Bed Fusion (e.g. SLS),"Composite, Polymer",,13.4,13.4,23.6,"$250,000 - $499,999",
Click for Details,EOS,EOS P 500,,70,Powder Bed Fusion (e.g. SLS),Polymer,"PA, PEKK",19.69,12.99,15.75,"$500,000 - $999,999",
Click for Details,EOS,EOS P 770,,70,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal, PS",27.6,15,22.9,"$500,000 - $999,999",
Click for Details,EOS,EOS P 810,,70,Powder Bed Fusion (e.g. SLS),Polymer,PEKK,27.56,14.96,14.96,"$500,000 - $999,999",
Click for Details,EOS,EOSINT M 280,,400,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Cobalt, Nickel, Steel, Titanium",9.85,9.85,12.8,"$250,000 - $499,999",
Click for Details,EOS,EOSINT P 800,,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer",PEEK,27.6,15,22.05,"$500,000 - $999,999",
Click for Details,EOS,EOSINT P 800,Standard,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer",PEEK,27.6,15,22.05,"$500,000 - $999,999",
Click for Details,EOS,FORMIGA P 110 Velocis,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal, PS",7.87,9.84,12.99,"$100,000 - $249,999",
Click for Details,EOS,Precious M 080,,100,Powder Bed Fusion (e.g. SLS),Metal,"Gold, Silver, Platinum",3.15,3.15,3.94,"$100,000 - $249,999",
Click for Details,EVO-tech,EL-102,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PPS, ASA, PLA, PET, TPE, HIPS",19.69,15.75,20.08,Price not reported,
Click for Details,ExOne,Exerial,,,Binder Jetting,Sand,"Silicate, Zircon, Chromite",86.61422,47.24412,27.55907,"Greater than $1,000,000",
Click for Details,ExOne,Innovent,,,Binder Jetting,"Metal, Ceramic, Composite","Steel, Bronze, Iron, Cobalt, Glass, Graphite, Refractory Metal, Carbon-Metal Composite",6.3,2.56,2.56,"$100,000 - $249,999",
Click for Details,ExOne,M-Flex,,,Binder Jetting,"Metal, Ceramic, Composite","Steel, Bronze, Iron, Cobalt, Glass, Graphite, Refractory Metal, Carbon-Metal Composite",15.7,9.8,9.8,"$250,000 - $499,999",
Click for Details,ExOne,M-Print,,,Binder Jetting,Metal,Steel,31.5,19.68,15.75,"$100,000 - $249,999",
Click for Details,ExOne,S-Max Furan,,,Binder Jetting,Sand,"Silicate, Zircon, Chromite",70.9,39.37,27.56,"Greater than $1,000,000",
Click for Details,ExOne,S-Max+ Phenolic,,,Binder Jetting,Sand,"Silicate, Zircon, Chromite",70.9,39.37,23.6,"Greater than $1,000,000",
Click for Details,ExOne,S-Print Furan,,,Binder Jetting,Sand,"Silicate, Zircon, Chromite",31.5,19.68,15.75,"$500,000 - $999,999",
Click for Details,ExOne,S-Print Phenol,,,Binder Jetting,Sand,"Silicate, Zircon, Chromite",31.5,19.68,15.75,"$500,000 - $999,999",
Click for Details,ExOne,S-Print Silicate,,,Binder Jetting,Sand,"Silicate, Zircon, Chromite",31.5,19.68,15.75,"$500,000 - $999,999",
Click for Details,Fabrisonic,SonicLayer 4000,,,Sheet Lamination,Metal,"Aluminum, Steel, Titanium, Nickel, Copper, Gold, Silver, Refractory Metal",40,24,24,"Greater than $1,000,000",
Click for Details,Fabrisonic,SonicLayer 7200,,,Sheet Lamination,Metal,"Aluminum, Steel, Titanium, Nickel, Copper, Gold, Silver, Refractory Metal",72,72,36,"Greater than $1,000,000",
Click for Details,Fabrisonic,SonicLayer R200,,,Sheet Lamination,Metal,"Aluminum, Steel, Titanium, Nickel, Copper, Gold, Silver, Refractory Metal",22,12,10,"$250,000 - $499,999",
Click for Details,Fonon Corporation,3D Fusion 150,,200,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Steel, Titanium, Nickel, Cobalt",16.54,16.54,15.75,Price not reported,
Click for Details,Fonon Corporation,3D Fusion 150,,400,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Steel, Titanium, Nickel, Cobalt",16.54,16.54,15.75,Price not reported,
Click for Details,Fonon Corporation,3D Fusion 150,,1000,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Steel, Titanium, Nickel, Cobalt",16.54,16.54,15.75,Price not reported,
Click for Details,FORMALLOY,L-series,,2000,Directed Energy Deposition,Metal,"Titanium, Nickel, Cobalt, Steel, Copper",11.81,11.81,7.87,"$100,000 - $249,999",
Click for Details,FORMALLOY,X-series,,8000,Directed Energy Deposition,Metal,"Titanium, Nickel, Cobalt, Steel, Copper",78.74,78.74,78.74,"$250,000 - $499,999",
Click for Details,GEFERTEC,arc405,,,Directed Energy Deposition,Metal,,15.75,15.75,19.69,"$250,000 - $499,999",
Click for Details,GEFERTEC,arc603,,,Directed Energy Deposition,Metal,,43.31,55.12,61.42,"$500,000 - $999,999",
Click for Details,GEFERTEC,arc605,,,Directed Energy Deposition,Metal,,35.43,35.43,43.31,"$500,000 - $999,999",
Click for Details,Guangdong Hanbang 3D Tech,HBD-100,,100,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium, Aluminum, Nickel",4.13,4.13,3.94,Price not reported,
Click for Details,Guangdong Hanbang 3D Tech,HBD-100,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium, Aluminum, Nickel",4.13,4.13,3.94,Price not reported,
Click for Details,Guangdong Syndaya 3D Technology,DiMetal-100,,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum",9.8,9.8,11.8,Price not reported,
Click for Details,Guangdong Syndaya 3D Technology,DiMetal-280,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum",9.8,9.8,11.8,Price not reported,
Click for Details,Guangdong Syndaya 3D Technology,DiMetal-280,,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum",9.8,9.8,11.8,Price not reported,
Click for Details,Guangdong Syndaya 3D Technology,DiMetal-400,,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum",15.7,15.7,15.7,Price not reported,
Click for Details,Guangdong Syndaya 3D Technology,DiMetal-400,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum",15.7,15.7,15.7,Price not reported,
Click for Details,Guangdong Syndaya 3D Technology,DiMetal-50,,100,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum",2,2,2,Price not reported,
Click for Details,Guangdong Syndaya 3D Technology,DiMetal-50,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum",2,2,2,Price not reported,
Click for Details,HP,HP Jet Fusion 340 3D Printer,,,Powder Bed Fusion (e.g. SLS),Polymer,PA,7.48,10,9.76,Price not reported,
Click for Details,HP,HP Jet Fusion 380 3D Printer,,,Powder Bed Fusion (e.g. SLS),Polymer,PA,7.48,10,9.76,Price not reported,
Click for Details,HP,HP Jet Fusion 3D 4200 Printer,,,Powder Bed Fusion (e.g. SLS),Polymer,PA,15,11,15,"$100,000 - $249,999",
Click for Details,HP,HP Jet Fusion 3D 4210 Printer,,,Powder Bed Fusion (e.g. SLS),Polymer,PA,15,11,15,"$100,000 - $249,999",
Click for Details,HP,HP Jet Fusion 540 3D Printer,,,Powder Bed Fusion (e.g. SLS),Polymer,PA,7.48,13.07,9.76,Price not reported,
Click for Details,HP,HP Jet Fusion 580 3D Printer,,,Powder Bed Fusion (e.g. SLS),Polymer,PA,7.48,13.07,9.76,Price not reported,
Click for Details,Hunan Farsoon,Farsoon 252P,HT,60,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",9.84,9.84,12.6,"$100,000 - $249,999",
Click for Details,Hunan Farsoon,Farsoon 252P,ST,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",9.84,9.84,12.6,"$100,000 - $249,999",
Click for Details,Hunan Farsoon,Farsoon 403P Series,FS,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",15.7,15.7,17.7,"$250,000 - $499,999",
Click for Details,Hunan Farsoon,Farsoon 403P Series,HS,60,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",15.7,15.7,17.7,"$250,000 - $499,999",
Click for Details,Hunan Farsoon,Farsoon 403P Series,SS/HT,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",15.7,15.7,17.7,"$250,000 - $499,999",
Click for Details,Hunan Farsoon,Farsoon eForm,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",9.84,9.84,12.6,"$100,000 - $249,999",
Click for Details,Hunan Farsoon,FS121M,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium",4.72,4.72,3.94,"$250,000 - $499,999",
Click for Details,Hunan Farsoon,FS271M Series,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt",10.83,10.83,12.6,"$250,000 - $499,999",
Click for Details,Hunan Farsoon,FS421M,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium, Aluminum, Bronze, Nickel",16.54,16.54,16.54,"$250,000 - $499,999",
Click for Details,Hunan Farsoon,HT1001P,,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",39.37,19.69,17.72,Price not reported,
Click for Details,Impossible Objects,CBAM Model One System,,,Sheet Lamination,"Composite, Polymer","PA-Carbon, PEEK-Carbon",11,15,4,Price not reported,
Click for Details,InssTek,MX-1000,"3 Axis Motion Model, SDM 1200",2000,Directed Energy Deposition,Metal,"Steel, Copper, Aluminum, Titanium, Nickel, Cobalt, Tin, Refractory Metal",39.3701,31.49608,25.590565,"$500,000 - $999,999",
